Year_x,Month_x,Product code_x,Bureau of Meteorology station number_x,Day_x,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality_x,Date,Product code_y,Bureau of Meteorology station number_y,Year_y,Month_y,Day_y,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality_y
2015,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2015,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2015,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2015,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2015,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2015,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2015,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2015,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2015,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2016,5,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2016,7,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2016,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016,11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2016,12,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2017,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2017,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
